"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.093670274E0,-1.639713764E0,-5.946768522E-1,1.182557821E0
6.110336212E0,3.885099888E-1,-5.994110554E-2,1.145676851E0
6.127002149E0,2.832885459E-2,-6.022363305E-1,8.939242363E-1
6.143668087E0,-2.726671219E0,-2.148716927E0,1.164461002E-1
6.160334024E0,-4.572475433E0,-1.941557288E0,-8.899536133E-1
6.176999962E0,-4.218402863E0,-5.765036345E-1,-1.464701056E0
6.193665899E0,-2.593961000E0,-1.108337760E0,-1.321987748E0
6.210331837E0,-1.445840597E0,-3.190317631E0,-1.080772519E0
6.226997774E0,-1.149571180E0,-3.170769930E0,-8.341358304E-1
6.243663712E0,-1.027932763E0,-1.631161690E0,-8.271872401E-1
